City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Port Alfred,ZA,2022-02-06 17:22:28,-33.5906,26.891,76.17,81,0,30.58
211,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
212,Saint-Philippe,RE,2022-02-06 17:23:31,-21.3585,55.7679,80.15,81,99,15.7
213,Ilulissat,GL,2022-02-06 17:22:39,69.2167,-51.1,1.42,46,100,6.91
214,San Jose,US,2022-02-06 17:25:58,37.3394,-121.895,58.41,65,20,3.44
215,Kismayo,SO,2022-02-06 17:27:01,-0.3582,42.5454,78.37,82,55,14.88
216,Mar Del Plata,AR,2022-02-06 17:23:33,-38.0023,-57.5575,66.22,90,100,24.0
217,Clyde River,CA,2022-02-06 17:22:28,70.4692,-68.5914,-30.77,68,0,5.75
218,Busselton,AU,2022-02-06 17:18:44,-33.65,115.3333,55.09,66,77,18.95
219,Kruisfontein,ZA,2022-02-06 17:22:45,-34.0033,24.7314,76.89,67,64,10.22
220,Punta Arenas,CL,2022-02-06 17:21:25,-53.15,-70.9167,69.91,46,75,17.27
221,Beliu,RO,2022-02-06 17:27:02,46.4833,21.9833,42.82,78,100,8.08
222,Faya,SA,2022-02-06 17:24:53,18.3851,42.4509,55.51,70,5,4.29
223,Hofn,IS,2022-02-06 17:25:47,64.2539,-15.2082,28.74,62,2,13.71
224,Cape Town,ZA,2022-02-06 17:21:38,-33.9258,18.4232,75.88,51,0,1.01
225,Hermanus,ZA,2022-02-06 17:23:10,-34.4187,19.2345,73.9,79,7,9.53
226,Souillac,MU,2022-02-06 17:22:31,-20.5167,57.5167,79.36,83,40,11.5
227,Navalgund,IN,2022-02-06 17:28:03,15.5667,75.3667,70.63,73,45,10.6
228,East London,ZA,2022-02-06 17:23:31,-33.0153,27.9116,74.34,88,40,16.11
229,Grand Gaube,MU,2022-02-06 17:28:03,-20.0064,57.6608,79.38,79,59,4.0
230,Dikson,RU,2022-02-06 17:28:04,73.5069,80.5464,-21.78,99,68,8.68
231,Tabou,CI,2022-02-06 17:28:04,4.423,-7.3528,82.94,70,89,10.36
232,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
233,Olinda,BR,2022-02-06 17:22:22,-8.0089,-34.8553,85.73,58,20,9.22
234,Polyarnyy,RU,2022-02-06 17:28:05,69.1989,33.4478,18.07,82,100,15.43
235,Ulenje,TZ,2022-02-06 17:28:05,-8.9333,33.6833,57.38,96,100,2.73
236,Koungou,YT,2022-02-06 17:28:05,-12.7336,45.2042,82.11,83,0,8.05
237,East London,ZA,2022-02-06 17:23:31,-33.0153,27.9116,74.34,88,40,16.11
238,Nouadhibou,MR,2022-02-06 17:28:06,20.931,-17.0347,69.78,78,5,14.97
239,Digapahandi,IN,2022-02-06 17:28:06,19.3667,84.5833,64.53,71,42,3.6
240,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
241,Dzialdowo,PL,2022-02-06 17:28:06,53.2396,20.17,38.97,97,100,17.0
242,Saldanha,ZA,2022-02-06 17:24:41,-33.0117,17.9442,71.65,92,43,11.32
243,Jumla,NP,2022-02-06 17:28:07,29.2747,82.1838,33.89,66,34,5.41
244,San Cristobal,VE,2022-02-06 17:28:07,7.7669,-72.225,68.18,53,87,4.41
245,Ribeira Grande,PT,2022-02-06 17:23:13,38.5167,-28.7,63.0,82,40,11.5
246,Marmato,CO,2022-02-06 17:28:07,5.4784,-75.5927,81.46,65,80,1.92
247,Lichinga,MZ,2022-02-06 17:28:08,-13.3128,35.2406,61.27,95,56,2.59
248,Dikson,RU,2022-02-06 17:28:04,73.5069,80.5464,-21.78,99,68,8.68
249,Hermanus,ZA,2022-02-06 17:23:10,-34.4187,19.2345,73.9,79,7,9.53
250,Busselton,AU,2022-02-06 17:18:44,-33.65,115.3333,55.09,66,77,18.95
251,Dikson,RU,2022-02-06 17:28:04,73.5069,80.5464,-21.78,99,68,8.68
252,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
253,Omaruru,NA,2022-02-06 17:28:08,-21.4333,15.9333,66.81,91,99,7.99
254,Bredasdorp,ZA,2022-02-06 17:24:41,-34.5322,20.0403,74.52,60,25,8.05
255,Sivagiri,IN,2022-02-06 17:28:09,9.3333,77.4333,76.46,74,73,3.65
256,Rawson,AR,2022-02-06 17:28:09,-43.3002,-65.1023,82.69,21,0,9.22
257,Peniche,PT,2022-02-06 17:28:09,39.3558,-9.3811,66.74,62,6,14.52
258,Kosterevo,RU,2022-02-06 17:28:10,55.9299,39.6144,12.13,99,95,3.6
259,Narsaq,GL,2022-02-06 17:28:10,60.9167,-46.05,8.82,58,100,3.06
260,Iqaluit,CA,2022-02-06 17:28:10,63.7506,-68.5145,-32.31,66,20,4.0
261,Mayor Pablo Lagerenza,PY,2022-02-06 17:28:11,-19.9309,-60.7718,96.96,23,83,12.71
262,Tasiilaq,GL,2022-02-06 17:22:29,65.6145,-37.6368,23.16,60,100,26.24
263,Wajid,SO,2022-02-06 17:28:11,3.8093,43.2471,84.92,18,46,12.64
264,Araouane,ML,2022-02-06 17:28:11,18.9048,-3.5265,80.6,6,0,5.84
265,Lentekhi,GE,2022-02-06 17:28:12,42.7856,42.7261,30.6,97,100,2.98
266,Tsilna,RU,2022-02-06 17:28:12,54.5953,48.1414,22.55,95,100,5.5
267,Banes,CU,2022-02-06 17:28:12,20.9625,-75.7186,83.01,53,1,14.52
268,Ginir,ET,2022-02-06 17:28:12,7.1333,40.7,62.17,21,64,1.88
269,Upernavik,GL,2022-02-06 17:28:13,72.7868,-56.1549,-9.54,93,100,5.44
270,Buraydah,SA,2022-02-06 17:25:55,26.326,43.975,57.65,34,0,7.43
271,Archis,RO,2022-02-06 17:28:13,46.4833,22.05,42.1,80,100,7.47
272,Igrim,RU,2022-02-06 17:29:13,63.1906,64.4162,-8.64,100,40,3.8
273,Saldanha,ZA,2022-02-06 17:24:41,-33.0117,17.9442,71.65,92,43,11.32
274,Ushuaia,AR,2022-02-06 17:20:11,-54.8,-68.3,55.06,58,75,5.75
275,Grand-Santi,GF,2022-02-06 17:29:14,4.25,-54.3833,80.53,89,100,3.67
276,Klaksvik,FO,2022-02-06 17:29:14,62.2266,-6.589,36.52,61,87,37.51
277,Boa Vista,BR,2022-02-06 17:26:16,2.8197,-60.6733,87.78,51,75,11.5
278,Dingle,PH,2022-02-06 17:27:02,10.9995,122.6711,74.84,88,49,8.12
279,Maun,BW,2022-02-06 17:23:33,-19.9833,23.4167,76.91,52,69,7.56
280,Kapoeta,SS,2022-02-06 17:25:18,4.7717,33.5903,86.49,19,95,6.55
281,Chuy,UY,2022-02-06 17:24:31,-33.6971,-53.4616,70.57,52,75,15.19
282,Araioses,BR,2022-02-06 17:29:15,-2.89,-41.9031,87.78,70,20,16.11
283,Callaway,US,2022-02-06 17:29:15,30.153,-85.5699,57.9,62,64,7.76
284,Angoche,MZ,2022-02-06 17:29:16,-16.2325,39.9086,78.94,81,88,7.61
285,Dunkirk,FR,2022-02-06 17:29:16,51.05,2.3667,50.09,69,95,8.99
286,Tasiilaq,GL,2022-02-06 17:22:29,65.6145,-37.6368,23.16,60,100,26.24
287,Paamiut,GL,2022-02-06 17:29:17,61.994,-49.6678,4.87,75,100,9.19
288,Yanam,IN,2022-02-06 17:29:07,16.7333,82.2167,69.76,77,20,3.62
289,Georgetown,MY,2022-02-06 17:21:14,5.4112,100.3354,77.95,94,40,0.0
290,Roald,NO,2022-02-06 17:29:17,62.5833,6.1333,39.99,65,75,13.8
291,Togul,RU,2022-02-06 17:29:17,53.465,85.9128,0.55,95,88,2.53
292,Upernavik,GL,2022-02-06 17:28:13,72.7868,-56.1549,-9.54,93,100,5.44
